english,name,duration,release_date,director,scenarists,actors,type,ratings,brief_into,movie_id
1,Manhattan,1h 36min,25 April 1979 (USA),['Woody Allen'],"['Woody Allen', 'Marshall Brickman', 'Jack Rollins & Charles H. Joffe Productions']","['Woody Allen', 'Diane Keaton', 'Mariel Hemingway']","['Comedy', 'Drama', 'Romance']",['8.0'],"Forty-two year old Isaac Davis has a romanticized view of his hometown, New York City, most specifically Manhattan, as channeled through the lead character in the first book he is writing, despite his own Manhattan-based life being more of a tragicomedy. He has just quit his job as a hack writer for a bad television comedy, he, beyond the ten second rush of endorphins during the actual act of quitting, now regretting the decision, especially as he isn't sure he can live off his book writing career. He is paying two alimonies, his second ex-wife, Jill Davis, a lesbian, who is writing her own tell-all book of their acrimonious split. The one somewhat positive aspect of his life is that he is dating a young woman named Tracy, although she is only seventeen and still in high school. Largely because of their differences a big part of which is due to their ages, he does not see a long term future with her. His life has the potential to be even more tragicomical when he meets journalist Mary...",417
1,Colossal,1h 49min,21 April 2017 (Canada),,"['Nacho Vigalondo', 'Toy Fight Productions', 'Brightlight Pictures', 'Sayaka Producciones Audiovisuales']","['Anne Hathaway', 'Jason Sudeikis', 'Austin Stowell']","['Action', 'Comedy', 'Drama']",['6.5'],"Gloria (Anne Hathaway) is an out-of-work girl who, after getting kicked out of her apartment by her boyfriend, is forced to leave her life in New York and move back to her hometown. When news reports surface that a giant creature is destroying Seoul, South Korea, Gloria gradually comes to the realization that she is somehow connected to his far-off phenomenon. As events begin to spin out of control, Gloria must determine why her seemingly insignificant existence has such a colossal effect on the fate of the world.",420
1,The Devil Wears Prada,1h 49min,30 June 2006 (USA),['David Frankel'],"['Aline Brosh McKenna', 'Lauren Weisberger', 'Fox 2000 Pictures', 'Dune Entertainment', 'Major Studio Partners']","['Anne Hathaway', 'Meryl Streep', 'Adrian Grenier']","['Comedy', 'Drama']",['6.8'],"In New York, the simple and naive just-graduated in journalism Andrea Sachs is hired to work as the second assistant of the powerful and sophisticated Miranda Priestly, the ruthless and merciless executive of the Runway fashion magazine. Andrea dreams to become a journalist and faces the opportunity as a temporary professional challenge. The first assistant Emily advises Andrea about the behavior and preferences of their cruel boss, and the stylist Nigel helps Andrea to dress more adequately for the environment. Andrea changes her attitude and behavior, affecting her private life and the relationship with her boyfriend Nate, her family and friends. In the end, Andrea learns that life is made of choices.",424
1,American Gods,1h,TV Series (2017– ),,"['Bryan Fuller', 'Michael Green', 'Canada Film Capital', 'Fremantle Media North America']","['Ricky Whittle', 'Emily Browning', 'Bruce Langley']","['Fantasy', 'Mystery']",['8.6'],"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, he is greeted by a strange man in the seat next to him. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever be the same.",427
1,The Godfather: Part II,3h 22min,20 December 1974 (USA),['Francis Ford Coppola'],"['Francis Ford Coppola', 'Mario Puzo', 'Paramount Pictures', 'The Coppola Company']","['Al Pacino', 'Robert De Niro', 'Robert Duvall']","['Crime', 'Drama']",['9.0'],"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.",430
1,X-Men: Apocalypse,2h 24min,27 May 2016 (USA),,"['Simon Kinberg', 'Bryan Singer', 'Twentieth Century Fox Film Corporation', 'Marvel Entertainment', 'TSG Entertainment']","['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']","['Action', 'Adventure', 'Sci-Fi']",['7.1'],"Since the dawn of civilization, he was worshiped as a god. Apocalypse, the first and most powerful mutant from Marvel's X-Men universe, amassed the powers of many other mutants, becoming immortal and invincible. Upon awakening after thousands of years, he is disillusioned with the world as he finds it and recruits a team of powerful mutants, including a disheartened Magneto, to cleanse mankind and create a new world order, over which he will reign. As the fate of the Earth hangs in the balance, Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction.",433
1,The Ticket,1h 37min,7 April 2017 (USA),['Ido Fluk'],"['Ido Fluk', 'Sharon Mashihi', 'BCDF Pictures', 'Blackbird', 'Cave Pictures']","['Dan Stevens', 'Malin Akerman', 'Kerry Bishé']",['Drama'],['5.4'],A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.,436
1,The Lion King,1h 28min,24 June 1994 (USA),,"['Irene Mecchi', 'Jonathan Roberts', 'Walt Disney Pictures', 'Walt Disney Feature Animation']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","['Animation', 'Adventure', 'Drama']",['8.5'],"A young lion Prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young Prince must decide his fate: will he remain an outcast, or face his demons and become what he needs to be?",437
1,The Handmaid's Tale,1h,TV Series (2017– ),,"['Bruce Miller', 'MGM Television']","['Elisabeth Moss', 'Yvonne Strahovski', 'Alexis Bledel']","['Drama', 'Sci-Fi']",['8.8'],"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",439
1,The Croods,1h 38min,22 March 2013 (USA),,"['Chris Sanders', 'Kirk De Micco', 'DreamWorks Animation']","['Nicolas Cage', 'Ryan Reynolds', 'Emma Stone']","['Animation', 'Adventure', 'Comedy']",['7.2'],"The Crood is a very sad cave man who wants to go out and discover the world. When the crood goes out of his cave, he discovers many things. The movie follows the world's first Crood as he embarks on a journey of a lifetime when the cave that has always shielded him from danger is being renovated. Traveling across a spectacular landscape, the Crood discovers an incredible new world filled with fantastic creatures -- and even finds a love, Mrs. Crood",443
